x,y,z,Yw(m)
0.5,0.5,0,7.37319e-313
0.5,1.5,0,7.37319e-313
0.5,2.5,0,7.37319e-313
0.5,3.5,0,7.37319e-313
0.5,4.5,0,7.37319e-313
0.5,5.5,0,7.37319e-313
0.5,6.5,0,7.37319e-313
0.5,7.5,0,7.37319e-313
0.5,8.5,0,7.37319e-313
0.5,9.5,0,7.37319e-313
0.5,10.5,0,7.37319e-313
0.5,11.5,0,7.37319e-313
0.5,12.5,0,7.37319e-313
0.5,13.5,0,7.37319e-313
0.5,14.5,0,7.37319e-313
0.5,15.5,0,7.37319e-313
0.5,16.5,0,7.37319e-313
0.5,17.5,0,7.37319e-313
0.5,18.5,0,7.37319e-313
0.5,19.5,0,7.37319e-313
0.5,20.5,0,7.37319e-313
0.5,21.5,0,7.37319e-313
0.5,22.5,0,7.37319e-313
0.5,23.5,0,7.37319e-313
0.5,24.5,0,7.37319e-313
0.5,25.5,0,7.37319e-313
0.5,26.5,0,7.37319e-313
0.5,27.5,0,7.37319e-313
0.5,28.5,0,7.37319e-313
0.5,29.5,0,7.37319e-313
0.5,30.5,0,7.37319e-313
0.5,31.5,0,7.37319e-313
0.5,32.5,0,7.37319e-313
0.5,33.5,0,7.37319e-313
0.5,34.5,0,7.37319e-313
0.5,35.5,0,7.37319e-313
0.5,36.5,0,7.37319e-313
0.5,37.5,0,7.37319e-313
0.5,38.5,0,7.37319e-313
0.5,39.5,0,7.37319e-313
0.5,40.5,0,7.37319e-313
0.5,41.5,0,7.37319e-313
0.5,42.5,0,7.37319e-313
0.5,43.5,0,7.37319e-313
0.5,44.5,0,7.37319e-313
0.5,45.5,0,7.37319e-313
0.5,46.5,0,7.37319e-313
0.5,47.5,0,7.37319e-313
0.5,48.5,0,7.37319e-313
1.5,0.5,0,7.37319e-313
1.5,1.5,0,1.58114
1.5,2.5,0,1.58114
1.5,3.5,0,1.58114
1.5,4.5,0,1.58114
1.5,5.5,0,1.58114
1.5,6.5,0,1.58114
1.5,7.5,0,1.58114
1.5,8.5,0,1.58114
1.5,9.5,0,1.58114
1.5,10.5,0,1.58114
1.5,11.5,0,1.58114
1.5,12.5,0,1.58114
1.5,13.5,0,1.58114
1.5,14.5,0,1.58114
1.5,15.5,0,1.58114
1.5,16.5,0,1.58114
1.5,17.5,0,1.58114
1.5,18.5,0,1.58114
1.5,19.5,0,1.58114
1.5,20.5,0,1.58114
1.5,21.5,0,1.58114
1.5,22.5,0,1.58114
1.5,23.5,0,1.58114
1.5,24.5,0,1.58114
1.5,25.5,0,1.58114
1.5,26.5,0,1.58114
1.5,27.5,0,1.58114
1.5,28.5,0,1.58114
1.5,29.5,0,1.58114
1.5,30.5,0,1.58114
1.5,31.5,0,1.58114
1.5,32.5,0,1.58114
1.5,33.5,0,1.58114
1.5,34.5,0,1.58114
1.5,35.5,0,1.58114
1.5,36.5,0,1.58114
1.5,37.5,0,1.58114
1.5,38.5,0,1.58114
1.5,39.5,0,1.58114
1.5,40.5,0,1.58114
1.5,41.5,0,1.58114
1.5,42.5,0,1.58114
1.5,43.5,0,1.58114
1.5,44.5,0,1.58114
1.5,45.5,0,1.58114
1.5,46.5,0,1.58114
1.5,47.5,0,1.58114
1.5,48.5,0,9.82499e-310
2.5,0.5,0,7.37319e-313
2.5,1.5,0,1.58114
2.5,2.5,0,2.54951
2.5,3.5,0,2.54951
2.5,4.5,0,2.54951
2.5,5.5,0,2.54951
2.5,6.5,0,2.54951
2.5,7.5,0,2.54951
2.5,8.5,0,2.54951
2.5,9.5,0,2.54951
2.5,10.5,0,2.54951
2.5,11.5,0,2.54951
2.5,12.5,0,2.54951
2.5,13.5,0,2.54951
2.5,14.5,0,2.54951
2.5,15.5,0,2.54951
2.5,16.5,0,2.54951
2.5,17.5,0,2.54951
2.5,18.5,0,2.54951
2.5,19.5,0,2.54951
2.5,20.5,0,2.54951
2.5,21.5,0,2.54951
2.5,22.5,0,2.54951
2.5,23.5,0,2.54951
2.5,24.5,0,2.54951
2.5,25.5,0,2.54951
2.5,26.5,0,2.54951
2.5,27.5,0,2.54951
2.5,28.5,0,2.54951
2.5,29.5,0,2.54951
2.5,30.5,0,2.54951
2.5,31.5,0,2.54951
2.5,32.5,0,2.54951
2.5,33.5,0,2.54951
2.5,34.5,0,2.54951
2.5,35.5,0,2.54951
2.5,36.5,0,2.54951
2.5,37.5,0,2.54951
2.5,38.5,0,2.54951
2.5,39.5,0,2.54951
2.5,40.5,0,2.54951
2.5,41.5,0,2.54951
2.5,42.5,0,2.54951
2.5,43.5,0,2.54951
2.5,44.5,0,2.54951
2.5,45.5,0,2.54951
2.5,46.5,0,2.54951
2.5,47.5,0,1.58114
2.5,48.5,0,9.82499e-310
3.5,0.5,0,7.37319e-313
3.5,1.5,0,1.58114
3.5,2.5,0,2.54951
3.5,3.5,0,3.53553
3.5,4.5,0,3.53553
3.5,5.5,0,3.53553
3.5,6.5,0,3.53553
3.5,7.5,0,3.53553
3.5,8.5,0,3.53553
3.5,9.5,0,3.53553
3.5,10.5,0,3.53553
3.5,11.5,0,3.53553
3.5,12.5,0,3.53553
3.5,13.5,0,3.53553
3.5,14.5,0,3.53553
3.5,15.5,0,3.53553
3.5,16.5,0,3.53553
3.5,17.5,0,3.53553
3.5,18.5,0,3.53553
3.5,19.5,0,3.53553
3.5,20.5,0,3.53553
3.5,21.5,0,3.53553
3.5,22.5,0,3.53553
3.5,23.5,0,3.53553
3.5,24.5,0,3.53553
3.5,25.5,0,3.53553
3.5,26.5,0,3.53553
3.5,27.5,0,3.53553
3.5,28.5,0,3.53553
3.5,29.5,0,3.53553
3.5,30.5,0,3.53553
3.5,31.5,0,3.53553
3.5,32.5,0,3.53553
3.5,33.5,0,3.53553
3.5,34.5,0,3.53553
3.5,35.5,0,3.53553
3.5,36.5,0,3.53553
3.5,37.5,0,3.53553
3.5,38.5,0,3.53553
3.5,39.5,0,3.53553
3.5,40.5,0,3.53553
3.5,41.5,0,3.53553
3.5,42.5,0,3.53553
3.5,43.5,0,3.53553
3.5,44.5,0,3.53553
3.5,45.5,0,3.53553
3.5,46.5,0,2.54951
3.5,47.5,0,1.58114
3.5,48.5,0,9.82499e-310
4.5,0.5,0,7.37319e-313
4.5,1.5,0,1.58114
4.5,2.5,0,2.54951
4.5,3.5,0,3.53553
4.5,4.5,0,4.52769
4.5,5.5,0,4.52769
4.5,6.5,0,4.52769
4.5,7.5,0,4.52769
4.5,8.5,0,4.52769
4.5,9.5,0,4.52769
4.5,10.5,0,4.52769
4.5,11.5,0,4.52769
4.5,12.5,0,4.52769
4.5,13.5,0,4.52769
4.5,14.5,0,4.52769
4.5,15.5,0,4.52769
4.5,16.5,0,4.52769
4.5,17.5,0,4.52769
4.5,18.5,0,4.52769
4.5,19.5,0,4.52769
4.5,20.5,0,4.52769
4.5,21.5,0,4.52769
4.5,22.5,0,4.52769
4.5,23.5,0,4.52769
4.5,24.5,0,4.52769
4.5,25.5,0,4.52769
4.5,26.5,0,4.52769
4.5,27.5,0,4.52769
4.5,28.5,0,4.52769
4.5,29.5,0,4.52769
4.5,30.5,0,4.52769
4.5,31.5,0,4.52769
4.5,32.5,0,4.52769
4.5,33.5,0,4.52769
4.5,34.5,0,4.52769
4.5,35.5,0,4.52769
4.5,36.5,0,4.52769
4.5,37.5,0,4.52769
4.5,38.5,0,4.52769
4.5,39.5,0,4.52769
4.5,40.5,0,4.52769
4.5,41.5,0,4.52769
4.5,42.5,0,4.52769
4.5,43.5,0,4.52769
4.5,44.5,0,4.52769
4.5,45.5,0,3.53553
4.5,46.5,0,2.54951
4.5,47.5,0,1.58114
4.5,48.5,0,9.82499e-310
5.5,0.5,0,7.37319e-313
5.5,1.5,0,1.58114
5.5,2.5,0,2.54951
5.5,3.5,0,3.53553
5.5,4.5,0,4.52769
5.5,5.5,0,5.52268
5.5,6.5,0,5.52268
5.5,7.5,0,5.52268
5.5,8.5,0,5.52268
5.5,9.5,0,5.52268
5.5,10.5,0,5.52268
5.5,11.5,0,5.52268
5.5,12.5,0,5.52268
5.5,13.5,0,5.52268
5.5,14.5,0,5.52268
5.5,15.5,0,5.52268
5.5,16.5,0,5.52268
5.5,17.5,0,5.52268
5.5,18.5,0,5.52268
5.5,19.5,0,5.52268
5.5,20.5,0,5.52268
5.5,21.5,0,5.52268
5.5,22.5,0,5.52268
5.5,23.5,0,5.52268
5.5,24.5,0,5.52268
5.5,25.5,0,5.52268
5.5,26.5,0,5.52268
5.5,27.5,0,5.52268
5.5,28.5,0,5.52268
5.5,29.5,0,5.52268
5.5,30.5,0,5.52268
5.5,31.5,0,5.52268
5.5,32.5,0,5.52268
5.5,33.5,0,5.52268
5.5,34.5,0,5.52268
5.5,35.5,0,5.52268
5.5,36.5,0,5.52268
5.5,37.5,0,5.52268
5.5,38.5,0,5.52268
5.5,39.5,0,5.52268
5.5,40.5,0,5.52268
5.5,41.5,0,5.52268
5.5,42.5,0,5.52268
5.5,43.5,0,5.52268
5.5,44.5,0,4.52769
5.5,45.5,0,3.53553
5.5,46.5,0,2.54951
5.5,47.5,0,1.58114
5.5,48.5,0,9.82499e-310
6.5,0.5,0,7.37319e-313
6.5,1.5,0,1.58114
6.5,2.5,0,2.54951
6.5,3.5,0,3.53553
6.5,4.5,0,4.52769
6.5,5.5,0,5.52268
6.5,6.5,0,6.5192
6.5,7.5,0,6.5192
6.5,8.5,0,6.5192
6.5,9.5,0,6.5192
6.5,10.5,0,6.5192
6.5,11.5,0,6.5192
6.5,12.5,0,6.5192
6.5,13.5,0,6.5192
6.5,14.5,0,6.5192
6.5,15.5,0,6.5192
6.5,16.5,0,6.5192
6.5,17.5,0,6.5192
6.5,18.5,0,6.5192
6.5,19.5,0,6.5192
6.5,20.5,0,6.5192
6.5,21.5,0,6.5192
6.5,22.5,0,6.5192
6.5,23.5,0,6.5192
6.5,24.5,0,6.5192
6.5,25.5,0,6.5192
6.5,26.5,0,6.5192
6.5,27.5,0,6.5192
6.5,28.5,0,6.5192
6.5,29.5,0,6.5192
6.5,30.5,0,6.5192
6.5,31.5,0,6.5192
6.5,32.5,0,6.5192
6.5,33.5,0,6.5192
6.5,34.5,0,6.5192
6.5,35.5,0,6.5192
6.5,36.5,0,6.5192
6.5,37.5,0,6.5192
6.5,38.5,0,6.5192
6.5,39.5,0,6.5192
6.5,40.5,0,6.5192
6.5,41.5,0,6.5192
6.5,42.5,0,6.5192
6.5,43.5,0,5.52268
6.5,44.5,0,4.52769
6.5,45.5,0,3.53553
6.5,46.5,0,2.54951
6.5,47.5,0,1.58114
6.5,48.5,0,9.82499e-310
7.5,0.5,0,7.37319e-313
7.5,1.5,0,1.58114
7.5,2.5,0,2.54951
7.5,3.5,0,3.53553
7.5,4.5,0,4.52769
7.5,5.5,0,5.52268
7.5,6.5,0,6.5192
7.5,7.5,0,7.51665
7.5,8.5,0,7.51665
7.5,9.5,0,7.51665
7.5,10.5,0,7.51665
7.5,11.5,0,7.51665
7.5,12.5,0,7.51665
7.5,13.5,0,7.51665
7.5,14.5,0,7.51665
7.5,15.5,0,7.51665
7.5,16.5,0,7.51665
7.5,17.5,0,7.51665
7.5,18.5,0,7.51665
7.5,19.5,0,7.51665
7.5,20.5,0,7.51665
7.5,21.5,0,7.51665
7.5,22.5,0,7.51665
7.5,23.5,0,7.51665
7.5,24.5,0,7.51665
7.5,25.5,0,7.51665
7.5,26.5,0,7.51665
7.5,27.5,0,7.51665
7.5,28.5,0,7.51665
7.5,29.5,0,7.51665
7.5,30.5,0,7.51665
7.5,31.5,0,7.51665
7.5,32.5,0,7.51665
7.5,33.5,0,7.51665
7.5,34.5,0,7.51665
7.5,35.5,0,7.51665
7.5,36.5,0,7.51665
7.5,37.5,0,7.51665
7.5,38.5,0,7.51665
7.5,39.5,0,7.51665
7.5,40.5,0,7.51665
7.5,41.5,0,7.51665
7.5,42.5,0,6.5192
7.5,43.5,0,5.52268
7.5,44.5,0,4.52769
7.5,45.5,0,3.53553
7.5,46.5,0,2.54951
7.5,47.5,0,1.58114
7.5,48.5,0,9.82499e-310
8.5,0.5,0,7.37319e-313
8.5,1.5,0,1.58114
8.5,2.5,0,2.54951
8.5,3.5,0,3.53553
8.5,4.5,0,4.52769
8.5,5.5,0,5.52268
8.5,6.5,0,6.5192
8.5,7.5,0,7.51665
8.5,8.5,0,8.51469
8.5,9.5,0,8.51469
8.5,10.5,0,8.51469
8.5,11.5,0,8.51469
8.5,12.5,0,8.51469
8.5,13.5,0,8.51469
8.5,14.5,0,8.51469
8.5,15.5,0,8.51469
8.5,16.5,0,8.51469
8.5,17.5,0,8.51469
8.5,18.5,0,8.51469
8.5,19.5,0,8.51469
8.5,20.5,0,8.51469
8.5,21.5,0,8.51469
8.5,22.5,0,8.51469
8.5,23.5,0,8.51469
8.5,24.5,0,8.51469
8.5,25.5,0,8.51469
8.5,26.5,0,8.51469
8.5,27.5,0,8.51469
8.5,28.5,0,8.51469
8.5,29.5,0,8.51469
8.5,30.5,0,8.51469
8.5,31.5,0,8.51469
8.5,32.5,0,8.51469
8.5,33.5,0,8.51469
8.5,34.5,0,8.51469
8.5,35.5,0,8.51469
8.5,36.5,0,8.51469
8.5,37.5,0,8.51469
8.5,38.5,0,8.51469
8.5,39.5,0,8.51469
8.5,40.5,0,8.51469
8.5,41.5,0,7.51665
8.5,42.5,0,6.5192
8.5,43.5,0,5.52268
8.5,44.5,0,4.52769
8.5,45.5,0,3.53553
8.5,46.5,0,2.54951
8.5,47.5,0,1.58114
8.5,48.5,0,9.82499e-310
9.5,0.5,0,7.37319e-313
9.5,1.5,0,1.58114
9.5,2.5,0,2.54951
9.5,3.5,0,3.53553
9.5,4.5,0,4.52769
9.5,5.5,0,5.52268
9.5,6.5,0,6.5192
9.5,7.5,0,7.51665
9.5,8.5,0,8.51469
9.5,9.5,0,9.51315
9.5,10.5,0,9.51315
9.5,11.5,0,9.51315
9.5,12.5,0,9.51315
9.5,13.5,0,9.51315
9.5,14.5,0,9.51315
9.5,15.5,0,9.51315
9.5,16.5,0,9.51315
9.5,17.5,0,9.51315
9.5,18.5,0,9.51315
9.5,19.5,0,9.51315
9.5,20.5,0,9.51315
9.5,21.5,0,9.51315
9.5,22.5,0,9.51315
9.5,23.5,0,9.51315
9.5,24.5,0,9.51315
9.5,25.5,0,9.51315
9.5,26.5,0,9.51315
9.5,27.5,0,9.51315
9.5,28.5,0,9.51315
9.5,29.5,0,9.51315
9.5,30.5,0,9.51315
9.5,31.5,0,9.51315
9.5,32.5,0,9.51315
9.5,33.5,0,9.51315
9.5,34.5,0,9.51315
9.5,35.5,0,9.51315
9.5,36.5,0,9.51315
9.5,37.5,0,9.51315
9.5,38.5,0,9.51315
9.5,39.5,0,9.51315
9.5,40.5,0,8.51469
9.5,41.5,0,7.51665
9.5,42.5,0,6.5192
9.5,43.5,0,5.52268
9.5,44.5,0,4.52769
9.5,45.5,0,3.53553
9.5,46.5,0,2.54951
9.5,47.5,0,1.58114
9.5,48.5,0,9.82499e-310
10.5,0.5,0,7.37319e-313
10.5,1.5,0,1.58114
10.5,2.5,0,2.54951
10.5,3.5,0,3.53553
10.5,4.5,0,4.52769
10.5,5.5,0,5.52268
10.5,6.5,0,6.5192
10.5,7.5,0,7.51665
10.5,8.5,0,8.51469
10.5,9.5,0,9.51315
10.5,10.5,0,10.5119
10.5,11.5,0,10.5119
10.5,12.5,0,10.5119
10.5,13.5,0,10.5119
10.5,14.5,0,10.5119
10.5,15.5,0,10.5119
10.5,16.5,0,10.5119
10.5,17.5,0,10.5119
10.5,18.5,0,10.5119
10.5,19.5,0,10.5119
10.5,20.5,0,10.5119
10.5,21.5,0,10.5119
10.5,22.5,0,10.5119
10.5,23.5,0,10.5119
10.5,24.5,0,10.5119
10.5,25.5,0,10.5119
10.5,26.5,0,10.5119
10.5,27.5,0,10.5119
10.5,28.5,0,10.5119
10.5,29.5,0,10.5119
10.5,30.5,0,10.5119
10.5,31.5,0,10.5119
10.5,32.5,0,10.5119
10.5,33.5,0,10.5119
10.5,34.5,0,10.5119
10.5,35.5,0,10.5119
10.5,36.5,0,10.5119
10.5,37.5,0,10.5119
10.5,38.5,0,10.5119
10.5,39.5,0,9.51315
10.5,40.5,0,8.51469
10.5,41.5,0,7.51665
10.5,42.5,0,6.5192
10.5,43.5,0,5.52268
10.5,44.5,0,4.52769
10.5,45.5,0,3.53553
10.5,46.5,0,2.54951
10.5,47.5,0,1.58114
10.5,48.5,0,9.82499e-310
11.5,0.5,0,7.37319e-313
11.5,1.5,0,1.58114
11.5,2.5,0,2.54951
11.5,3.5,0,3.53553
11.5,4.5,0,4.52769
11.5,5.5,0,5.52268
11.5,6.5,0,6.5192
11.5,7.5,0,7.51665
11.5,8.5,0,8.51469
11.5,9.5,0,9.51315
11.5,10.5,0,10.5119
11.5,11.5,0,11.5109
11.5,12.5,0,11.5109
11.5,13.5,0,11.5109
11.5,14.5,0,11.5109
11.5,15.5,0,11.5109
11.5,16.5,0,11.5109
11.5,17.5,0,11.5109
11.5,18.5,0,11.5109
11.5,19.5,0,11.5109
11.5,20.5,0,11.5109
11.5,21.5,0,11.5109
11.5,22.5,0,11.5109
11.5,23.5,0,11.5109
11.5,24.5,0,11.5109
11.5,25.5,0,11.5109
11.5,26.5,0,11.5109
11.5,27.5,0,11.5109
11.5,28.5,0,11.5109
11.5,29.5,0,11.5109
11.5,30.5,0,11.5109
11.5,31.5,0,11.5109
11.5,32.5,0,11.5109
11.5,33.5,0,11.5109
11.5,34.5,0,11.5109
11.5,35.5,0,11.5109
11.5,36.5,0,11.5109
11.5,37.5,0,11.5109
11.5,38.5,0,10.5119
11.5,39.5,0,9.51315
11.5,40.5,0,8.51469
11.5,41.5,0,7.51665
11.5,42.5,0,6.5192
11.5,43.5,0,5.52268
11.5,44.5,0,4.52769
11.5,45.5,0,3.53553
11.5,46.5,0,2.54951
11.5,47.5,0,1.58114
11.5,48.5,0,9.82499e-310
12.5,0.5,0,7.37319e-313
12.5,1.5,0,1.58114
12.5,2.5,0,2.54951
12.5,3.5,0,3.53553
12.5,4.5,0,4.52769
12.5,5.5,0,5.52268
12.5,6.5,0,6.5192
12.5,7.5,0,7.51665
12.5,8.5,0,8.51469
12.5,9.5,0,9.51315
12.5,10.5,0,10.5119
12.5,11.5,0,11.5109
12.5,12.5,0,12.51
12.5,13.5,0,12.51
12.5,14.5,0,12.51
12.5,15.5,0,12.51
12.5,16.5,0,12.51
12.5,17.5,0,12.51
12.5,18.5,0,12.51
12.5,19.5,0,12.51
12.5,20.5,0,12.51
12.5,21.5,0,12.51
12.5,22.5,0,12.51
12.5,23.5,0,12.51
12.5,24.5,0,12.51
12.5,25.5,0,12.51
12.5,26.5,0,12.51
12.5,27.5,0,12.51
12.5,28.5,0,12.51
12.5,29.5,0,12.51
12.5,30.5,0,12.51
12.5,31.5,0,12.51
12.5,32.5,0,12.51
12.5,33.5,0,12.51
12.5,34.5,0,12.51
12.5,35.5,0,12.51
12.5,36.5,0,12.51
12.5,37.5,0,11.5109
12.5,38.5,0,10.5119
12.5,39.5,0,9.51315
12.5,40.5,0,8.51469
12.5,41.5,0,7.51665
12.5,42.5,0,6.5192
12.5,43.5,0,5.52268
12.5,44.5,0,4.52769
12.5,45.5,0,3.53553
12.5,46.5,0,2.54951
12.5,47.5,0,1.58114
12.5,48.5,0,9.82499e-310
13.5,0.5,0,7.37319e-313
13.5,1.5,0,1.58114
13.5,2.5,0,2.54951
13.5,3.5,0,3.53553
13.5,4.5,0,4.52769
13.5,5.5,0,5.52268
13.5,6.5,0,6.5192
13.5,7.5,0,7.51665
13.5,8.5,0,8.51469
13.5,9.5,0,9.51315
13.5,10.5,0,10.5119
13.5,11.5,0,11.5109
13.5,12.5,0,12.51
13.5,13.5,0,13.5093
13.5,14.5,0,13.5093
13.5,15.5,0,13.5093
13.5,16.5,0,13.5093
13.5,17.5,0,13.5093
13.5,18.5,0,13.5093
13.5,19.5,0,13.5093
13.5,20.5,0,13.5093
13.5,21.5,0,13.5093
13.5,22.5,0,13.5093
13.5,23.5,0,13.5093
13.5,24.5,0,13.5093
13.5,25.5,0,13.5093
13.5,26.5,0,13.5093
13.5,27.5,0,13.5093
13.5,28.5,0,13.5093
13.5,29.5,0,13.5093
13.5,30.5,0,13.5093
13.5,31.5,0,13.5093
13.5,32.5,0,13.5093
13.5,33.5,0,13.5093
13.5,34.5,0,13.5093
13.5,35.5,0,13.5093
13.5,36.5,0,12.51
13.5,37.5,0,11.5109
13.5,38.5,0,10.5119
13.5,39.5,0,9.51315
13.5,40.5,0,8.51469
13.5,41.5,0,7.51665
13.5,42.5,0,6.5192
13.5,43.5,0,5.52268
13.5,44.5,0,4.52769
13.5,45.5,0,3.53553
13.5,46.5,0,2.54951
13.5,47.5,0,1.58114
13.5,48.5,0,9.82499e-310
14.5,0.5,0,7.37319e-313
14.5,1.5,0,1.58114
14.5,2.5,0,2.54951
14.5,3.5,0,3.53553
14.5,4.5,0,4.52769
14.5,5.5,0,5.52268
14.5,6.5,0,6.5192
14.5,7.5,0,7.51665
14.5,8.5,0,8.51469
14.5,9.5,0,9.51315
14.5,10.5,0,10.5119
14.5,11.5,0,11.5109
14.5,12.5,0,12.51
14.5,13.5,0,13.5093
14.5,14.5,0,14.5086
14.5,15.5,0,14.5086
14.5,16.5,0,14.5086
14.5,17.5,0,14.5086
14.5,18.5,0,14.5086
14.5,19.5,0,14.5086
14.5,20.5,0,14.5086
14.5,21.5,0,14.5086
14.5,22.5,0,14.5086
14.5,23.5,0,14.5086
14.5,24.5,0,14.5086
14.5,25.5,0,14.5086
14.5,26.5,0,14.5086
14.5,27.5,0,14.5086
14.5,28.5,0,14.5086
14.5,29.5,0,14.5086
14.5,30.5,0,14.5086
14.5,31.5,0,14.5086
14.5,32.5,0,14.5086
14.5,33.5,0,14.5086
14.5,34.5,0,14.5086
14.5,35.5,0,13.5093
14.5,36.5,0,12.51
14.5,37.5,0,11.5109
14.5,38.5,0,10.5119
14.5,39.5,0,9.51315
14.5,40.5,0,8.51469
14.5,41.5,0,7.51665
14.5,42.5,0,6.5192
14.5,43.5,0,5.52268
14.5,44.5,0,4.52769
14.5,45.5,0,3.53553
14.5,46.5,0,2.54951
14.5,47.5,0,1.58114
14.5,48.5,0,9.82499e-310
15.5,0.5,0,7.37319e-313
15.5,1.5,0,1.58114
15.5,2.5,0,2.54951
15.5,3.5,0,3.53553
15.5,4.5,0,4.52769
15.5,5.5,0,5.52268
15.5,6.5,0,6.5192
15.5,7.5,0,7.51665
15.5,8.5,0,8.51469
15.5,9.5,0,9.51315
15.5,10.5,0,10.5119
15.5,11.5,0,11.5109
15.5,12.5,0,12.51
15.5,13.5,0,13.5093
15.5,14.5,0,14.5086
15.5,15.5,0,15.5081
15.5,16.5,0,15.5081
15.5,17.5,0,15.5081
15.5,18.5,0,15.5081
15.5,19.5,0,15.5081
15.5,20.5,0,15.5081
15.5,21.5,0,15.5081
15.5,22.5,0,15.5081
15.5,23.5,0,15.5081
15.5,24.5,0,15.5081
15.5,25.5,0,15.5081
15.5,26.5,0,15.5081
15.5,27.5,0,15.5081
15.5,28.5,0,15.5081
15.5,29.5,0,15.5081
15.5,30.5,0,15.5081
15.5,31.5,0,15.5081
15.5,32.5,0,15.5081
15.5,33.5,0,15.5081
15.5,34.5,0,14.5086
15.5,35.5,0,13.5093
15.5,36.5,0,12.51
15.5,37.5,0,11.5109
15.5,38.5,0,10.5119
15.5,39.5,0,9.51315
15.5,40.5,0,8.51469
15.5,41.5,0,7.51665
15.5,42.5,0,6.5192
15.5,43.5,0,5.52268
15.5,44.5,0,4.52769
15.5,45.5,0,3.53553
15.5,46.5,0,2.54951
